scenario,hour,x,q,r,m,u,l,S
2,19,194.07262025063,13.57262025063,0.0,0.0,0.0,0.0,14.5994537539126
2,20,157.730518933783,0.0,13.869481066217,0.0,0.0,0.0,0.0
2,21,216.896559988002,45.0,0.0,0.0,1.39655998800197,0.0,42.75
2,22,167.854583788348,0.0,5.84541621165198,0.0,0.0,0.0,36.5969303035242
2,23,234.835336054516,45.0,0.0,0.0,12.935336054516,0.0,79.3469303035242
2,24,166.728639453893,1.92863945389303,0.0,0.0,0.0,0.0,81.1791377847226
3,1,82.6014481457051,0.0,55.0,16.2985518542949,0.0,0.0,2.10526315789474
3,2,148.313638558526,21.313638558526,0.0,0.0,0.0,0.0,22.3532197884944
3,3,67.6450145209478,0.0,14.0549854790522,0.0,0.0,0.0,7.55849823159737
3,4,0.0,0.0,0.851752678174801,47.5482473218252,0.0,0.0,6.66191646509758
3,5,78.7024457433581,45.0,0.0,0.0,17.9024457433581,0.0,49.4119164650976
3,6,0.0,0.0,17.1,0.0,0.0,0.0,31.4119164650976
3,7,0.0,0.0,24.1,0.0,0.0,0.0,6.04349541246608
3,8,23.4586793581572,0.0,5.74132064184278,0.0,0.0,0.0,0.0
3,9,126.264246360882,45.0,7.83750000000001,0.0,8.80174636088205,0.0,34.5
3,10,217.723280891609,45.0,0.0,0.0,66.823280891609,0.0,77.25
3,11,201.869456144337,45.0,0.0,0.0,21.269456144337,0.0,120.0
3,12,44.0144934023308,0.0,55.0,47.7855065976692,0.0,0.0,62.1052631578947
3,13,217.381885725702,45.0,0.0,0.0,12.781885725702,0.0,104.855263157895
3,14,152.543256449065,0.0,13.9348384944147,1.12190505652034,0.0,0.0,90.1870121111424
3,15,208.049654758074,22.449654758074,0.0,0.0,0.0,0.0,111.514184131313
3,16,193.200304792524,4.50030479252399,0.0,0.0,0.0,0.0,115.789473684211
3,17,132.275633775017,0.0,55.0,8.024366224983,0.0,0.0,57.8947368421053
3,18,119.316613321806,0.0,55.0,15.883386678194,0.0,0.0,0.0
3,19,194.07262025063,45.0,6.72737974937001,0.0,0.0,0.0,35.6685476322421
3,20,157.730518933783,45.0,35.4694810662168,0.0,0.0,0.0,41.0822517730665
3,21,216.896559988002,45.0,0.0,0.0,19.8965599880022,0.0,83.8322517730663
3,22,167.854583788348,45.0,38.145416211652,0.0,0.0,0.0,86.4291820765906
3,23,234.835336054516,45.0,47.6113624266541,0.0,69.0466984811701,0.0,79.0619584695863
3,24,166.728639453893,45.0,34.971360546107,0.0,0.0,0.0,85.0
